ticket_id,short_description,description,category,assignment_group,resolution
INC1000056,Printer-Canon-imageRUNNER-6: poor print quality,Mark reported that documents printed on Printer-Canon-imageRUNNER-6 at New York HQ show faded or streaked output. Issue reported on 2025-09-26.,Printing,Desktop Support,Replaced toner cartridge and cleaned print heads on Printer-Canon-imageRUNNER-6; print quality restored to normal. Time to resolve: 15 minutes.
INC1000057,Telephony: voicemail not working,"Joshua at Chicago Office reported that their phone is unable to access voicemail, receiving an authentication error. Reported on 2025-09-05.",Telephony,Desktop Support,Reset voicemail PIN and reconfigured voicemail box settings; user confirmed access restored. Time to resolve: 30 minutes.
INC1000058,Printer-Brother-MFC-10: poor print quality,Amber reported that documents printed on Printer-Brother-MFC-10 at London Office show faded or streaked output. Issue reported on 2026-02-26.,Printing,Desktop Support,Replaced toner cartridge and cleaned print heads on Printer-Brother-MFC-10; print quality restored to normal. Time to resolve: 1 business day.
INC1000059,Printer-Brother-MFC-18: not printing,Nicole reported that jobs sent to Printer-Brother-MFC-18 at Bengaluru Office are queued but never print. Issue reported on 2025-11-11.,Printing,Field Services,Restarted the print spooler service and reinstalled the driver for Printer-Brother-MFC-18; print jobs now complete successfully. Time to resolve: 1 business day.
INC1000060,AnalyticsDB access request,John Russell requires access to AnalyticsDB to perform their job duties. Request submitted on 2025-07-13 with approval workflow initiated.,Access Management,Identity & Access Management,Access to AnalyticsDB was granted following manager approval from Matthew Gomez; role-based permissions applied. Estimated resolution time: 4 hours.
INC1000061,Usb device policy violation - confirmed,Security team confirmed a genuine USB device policy violation involving Michelle's account from IP 10.50.99.211. Reported/detected on 2024-10-30.,Security,Security Operations,"Contained the USB device policy violation by disabling the affected account temporarily, forcing a password reset, and enabling MFA; account restored after verification. Incident closed after confirming no further malicious activity. Time to resolve: 15 minutes."
INC1000062,Email issue: calendar sync issue,Jessica reported that they are calendar invites are not syncing correctly between Outlook and mobile device. First noticed on 2026-04-24.,Email,Service Desk,Reconfigured mobile device email profile and forced a manual sync; calendar entries now updating correctly. Confirmed with Jessica that the issue is resolved. Time to resolve: 3 business days.
INC1000063,Vlan configuration speed is degraded,Daniel at Toronto Office (IP 10.229.176.172) reports significantly slower than normal speeds on VLAN configuration. Reported on 2024-12-27. Business impact: unable to access internal resources reliably.,Network,Infrastructure Team,Identified bandwidth saturation from a background process and applied QoS policy to prioritize VLAN configuration; speeds restored to normal. Confirmed resolution with Daniel. Total time to resolve: next business day.
INC1000064,Telephony: call quality issues,Isaiah at Toronto Office reported that their phone reports frequent call drops and static during calls. Reported on 2025-08-20.,Telephony,Desktop Support,Identified network congestion on the VoIP VLAN and applied QoS prioritization; call quality confirmed improved. Time to resolve: 2 hours.
INC1000065,ServiceNow access revocation,Angela Morton has changed roles and no longer requires access to ServiceNow. Request submitted on 2025-10-16 with approval workflow initiated.,Access Management,Service Desk,Revoked ServiceNow access in accordance with least-privilege policy and updated access records. Estimated resolution time: 15 minutes.
INC1000066,OrdersDB backup failure,Brandon Molina scheduled nightly backup job for OrdersDB failed to complete. Reported on 2025-03-07. Impact assessed as affecting downstream reporting.,Database,Database Administration,"Identified insufficient disk space on the backup volume for OrdersDB, freed up space, and re-ran the backup successfully. Time to resolve: 1 hour."
INC1000067,Printer-Xerox-WorkCentre-4: low toner,Richard reported that Printer-Xerox-WorkCentre-4 at London Office is displaying a low toner warning. Issue reported on 2025-09-02.,Printing,Desktop Support,Replaced toner cartridge on Printer-Xerox-WorkCentre-4 from on-site inventory; warning cleared. Time to resolve: 30 minutes.
INC1000068,Telephony: voicemail not working,"Michelle at New York HQ reported that their phone is unable to access voicemail, receiving an authentication error. Reported on 2026-07-07.",Telephony,Desktop Support,Reset voicemail PIN and reconfigured voicemail box settings; user confirmed access restored. Time to resolve: 1 business day.
INC1000069,Dhcp lease speed is degraded,Franklin at Remote - Home Office (IP 10.135.200.177) reports significantly slower than normal speeds on DHCP lease. Reported on 2026-07-25. Business impact: unable to access internal resources reliably.,Network,Network Operations,Identified bandwidth saturation from a background process and applied QoS policy to prioritize DHCP lease; speeds restored to normal. Confirmed resolution with Franklin. Total time to resolve: 1 business day.
INC1000070,Citrix Workspace is running very slowly,Kristen reported that Citrix Workspace on macOS Ventura takes several minutes to load and respond to user input. This is impacting their ability to complete daily tasks. Issue started on 2025-04-12.,Software,Service Desk,"Cleared temporary files, disabled unnecessary startup add-ins, and updated Citrix Workspace to the latest version; performance improved significantly. User confirmed resolution. Time to resolve: 3 business days."
INC1000071,Telephony: no dial tone,Heather at Berlin Office reported that their phone desk phone has no dial tone and cannot make or receive calls. Reported on 2026-03-03.,Telephony,Telecom Support,Replaced faulty Ethernet cable providing PoE to the desk phone and confirmed dial tone restored. Time to resolve: 2 hours.
INC1000072,Email issue: unable to send emails,Krista reported that they are receiving a non-delivery report (NDR) when trying to send emails to external recipients. First noticed on 2026-01-12.,Email,Email Administration,Identified that the domain was temporarily blacklisted by the recipient's mail server; submitted delisting request and confirmed emails are now delivering. Confirmed with Krista that the issue is resolved. Time to resolve: 1 business day.
INC1000073,Zoom is running very slowly,Tommy reported that Zoom on Windows 11 takes several minutes to load and respond to user input. This is impacting their ability to complete daily tasks. Issue started on 2025-02-01.,Software,Application Support,"Cleared temporary files, disabled unnecessary startup add-ins, and updated Zoom to the latest version; performance improved significantly. User confirmed resolution. Time to resolve: 15 minutes."
INC1000074,Barcode scanner screen is flickering,"Jeff at New York HQ reported that their barcode scanner (asset tag AST-48452) display flickers intermittently, especially under load. Issue first observed on 2024-10-28. Requesting hardware support to resolve.",Hardware,Field Services,Reseated display cable and updated graphics driver on barcode scanner (asset AST-48452); flickering resolved. Verified with Jeff that the issue is resolved. Estimated resolution time: next business day.
INC1000075,Unauthorized access attempt reported by user,Jill reported a unauthorized access attempt via the security hotline. Reported/detected on 2024-10-22.,Security,Security Operations,"Analyzed the reported unauthorized access attempt, removed the associated malicious email from all mailboxes, and issued a security awareness reminder to staff. Incident closed after confirming no further malicious activity. Time to resolve: 1 business day."
INC1000076,GCP Cloud Storage bucket: outage,Thomas Schmidt reports that the GCP Cloud Storage bucket is unreachable and services depending on it are down. Submitted on 2024-10-27.,Cloud Services,Cloud Infrastructure,"Identified the GCP Cloud Storage bucket had exceeded its resource quota, increased allocated resources, and restored service. Time to resolve: 30 minutes."
INC1000077,AWS S3 bucket: access issue,Sarah Jones cannot access a AWS S3 bucket they were previously able to reach. Submitted on 2024-11-04.,Cloud Services,Application Support,Corrected an IAM policy that had inadvertently restricted access to the AWS S3 bucket; access confirmed restored. Time to resolve: 1 hour.
INC1000078,ProdDB01 password reset,Jennifer David is unable to log in and has requested a password reset for ProdDB01. Request submitted on 2024-11-14 with approval workflow initiated.,Access Management,Service Desk,Reset password for ProdDB01 account and sent temporary credentials securely to the user; user confirmed successful login. Estimated resolution time: 3 business days.
INC1000079,Email issue: distribution list issue,Diane reported that they are is not receiving emails sent to a distribution list they should be a member of. First noticed on 2025-11-03.,Email,Email Administration,Added user to the correct distribution list and verified group membership synced correctly. Confirmed with Diane that the issue is resolved. Time to resolve: 4 hours.
INC1000080,Telephony: softphone login issue,Leslie at Chicago Office reported that their phone cannot log into the softphone application on their laptop. Reported on 2025-03-25.,Telephony,Telecom Support,Reset softphone credentials and reinstalled the client application; login confirmed successful. Time to resolve: next business day.
INC1000081,Azure SQL Database: cost anomaly,Emily Baker noticed an unexpected spike in billing associated with a Azure SQL Database. Submitted on 2024-12-20.,Cloud Services,Application Support,"Identified an unintended auto-scaling misconfiguration on the Azure SQL Database, corrected scaling rules, and confirmed costs normalized. Time to resolve: 3 business days."
INC1000082,Email issue: distribution list issue,Debbie reported that they are is not receiving emails sent to a distribution list they should be a member of. First noticed on 2025-08-16.,Email,Email Administration,Added user to the correct distribution list and verified group membership synced correctly. Confirmed with Debbie that the issue is resolved. Time to resolve: 3 business days.
INC1000083,AutoCAD is missing a feature after update,Sarah reported that AutoCAD on Ubuntu 22.04 no longer displays a previously available menu option after the last update. This is impacting their ability to complete daily tasks. Issue started on 2026-08-01.,Software,Application Support,Confirmed the feature was moved in the latest AutoCAD update and guided the user to its new location; issue resolved via user education. User confirmed resolution. Time to resolve: 4 hours.
INC1000084,Email issue: distribution list issue,Albert reported that they are is not receiving emails sent to a distribution list they should be a member of. First noticed on 2025-12-14.,Email,Email Administration,Added user to the correct distribution list and verified group membership synced correctly. Confirmed with Albert that the issue is resolved. Time to resolve: 4 hours.
INC1000085,Tablet is making unusual noise,Anna at Toronto Office reported that their tablet (asset tag AST-47512) has started making a loud clicking/grinding noise during operation. Issue first observed on 2024-11-28. Requesting hardware support to resolve.,Hardware,Desktop Support,Ran hardware diagnostics on tablet (asset AST-47512); identified failing internal fan and replaced it. Verified with Anna that the issue is resolved. Estimated resolution time: next business day.
INC1000086,OneDrive password reset,Katie Anderson is unable to log in and has requested a password reset for OneDrive. Request submitted on 2025-04-12 with approval workflow initiated.,Access Management,Identity & Access Management,Reset password for OneDrive account and sent temporary credentials securely to the user; user confirmed successful login. Estimated resolution time: 1 hour.
INC1000087,Confluence is missing a feature after update,Samuel reported that Confluence on macOS Ventura no longer displays a previously available menu option after the last update. This is impacting their ability to complete daily tasks. Issue started on 2025-10-18.,Software,Application Support,Confirmed the feature was moved in the latest Confluence update and guided the user to its new location; issue resolved via user education. User confirmed resolution. Time to resolve: next business day.
INC1000088,Network switch configuration request,Kevin at Austin Office (IP 192.168.153.72) requesting a configuration change to network switch. Reported on 2026-07-29. Business impact: unable to access internal resources reliably.,Network,Network Operations,Applied the requested configuration change to network switch and validated connectivity with the requester. Confirmed resolution with Kevin. Total time to resolve: 1 hour.
INC1000089,CustomerDataWarehouse permission elevation,Shawn Baker requires elevated permissions in CustomerDataWarehouse to complete a new project. Request submitted on 2025-04-09 with approval workflow initiated.,Access Management,Identity & Access Management,"Elevated permissions were granted in CustomerDataWarehouse with manager approval from Natalie Moore, with a scheduled review in 90 days. Estimated resolution time: next business day."
INC1000090,Telephony: call quality issues,Jason at London Office reported that their phone reports frequent call drops and static during calls. Reported on 2025-05-24.,Telephony,Desktop Support,Identified network congestion on the VoIP VLAN and applied QoS prioritization; call quality confirmed improved. Time to resolve: 3 business days.
INC1000091,Email issue: unable to send emails,Grace reported that they are receiving a non-delivery report (NDR) when trying to send emails to external recipients. First noticed on 2026-06-01.,Email,Service Desk,Identified that the domain was temporarily blacklisted by the recipient's mail server; submitted delisting request and confirmed emails are now delivering. Confirmed with Grace that the issue is resolved. Time to resolve: 3 business days.
INC1000092,ServiceNow is missing a feature after update,William reported that ServiceNow on macOS Ventura no longer displays a previously available menu option after the last update. This is impacting their ability to complete daily tasks. Issue started on 2025-03-18.,Software,Application Support,Confirmed the feature was moved in the latest ServiceNow update and guided the user to its new location; issue resolved via user education. User confirmed resolution. Time to resolve: next business day.
INC1000093,Salesforce crashes on startup,Rebekah reported that Salesforce on macOS Sonoma crashes immediately with error code 0x876813 every time it is launched. This is impacting their ability to complete daily tasks. Issue started on 2024-10-23.,Software,Service Desk,Cleared corrupted application cache and reinstalled Salesforce on macOS Sonoma; application now launches without errors. User confirmed resolution. Time to resolve: 3 business days.
INC1000094,LoggingDB backup failure,Sandra Williams scheduled nightly backup job for LoggingDB failed to complete. Reported on 2025-05-17. Impact assessed as affecting downstream reporting.,Database,Database Administration,"Identified insufficient disk space on the backup volume for LoggingDB, freed up space, and re-ran the backup successfully. Time to resolve: next business day."
